#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2025-04-15-06-20-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1744698039.972888	C799eq3mrrDzCtIeIb	REDACTED_IP	49763	REDACTED_IP	1076	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972888	CdZ3YSMlgTVxYIwi2	REDACTED_IP	49763	REDACTED_IP	8200	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972888	C56hpk3z9SSDZ3GQrb	REDACTED_IP	49763	REDACTED_IP	8090	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972888	C1dcdCEKLxtQWmmh6	REDACTED_IP	49763	REDACTED_IP	458	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972888	C3jBMF3YiGLivyhMGd	REDACTED_IP	49763	REDACTED_IP	40193	tcp	-	0.000005	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972888	CdB5dg1Er89DjqGxmh	REDACTED_IP	49763	REDACTED_IP	1080	tcp	-	0.000005	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972888	C8jmvf3hXbXlI8qO32	REDACTED_IP	49763	REDACTED_IP	1074	tcp	-	0.000006	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972896	C5eJbByESfxRqzGjg	REDACTED_IP	49763	REDACTED_IP	1039	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972896	CWFELY2YsRGgEkw1C6	REDACTED_IP	49763	REDACTED_IP	5666	tcp	-	0.000013	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972896	CM6Zne3Lha1fI0MOki	REDACTED_IP	49763	REDACTED_IP	42510	tcp	-	0.000015	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972896	CcAbeWvIrDCr6LVvd	REDACTED_IP	49763	REDACTED_IP	1049	tcp	-	0.000015	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972896	CCHVe51ltk5HTtG3F7	REDACTED_IP	49763	REDACTED_IP	3737	tcp	-	0.000016	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972896	CFmKbf27wtYNSstZU1	REDACTED_IP	49763	REDACTED_IP	1524	tcp	-	0.000017	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972896	C7j4Ao1IdjT9sMUGBf	REDACTED_IP	49763	REDACTED_IP	19780	tcp	-	0.000017	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972896	CgOdFa4uKKEqAfRxek	REDACTED_IP	49763	REDACTED_IP	3914	tcp	-	0.000018	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972920	CQ6mkU4qwWHbo54F4	REDACTED_IP	49763	REDACTED_IP	1050	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972920	C9PVTg1JUdvftaFFw4	REDACTED_IP	49763	REDACTED_IP	6007	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972920	Cj8BpS3dp5PQxMgbw7	REDACTED_IP	49763	REDACTED_IP	49176	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972920	CSMEac4T5f1nBAaRtb	REDACTED_IP	49763	REDACTED_IP	38292	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972920	CLUkLE4sCroZYI1Muf	REDACTED_IP	49763	REDACTED_IP	13722	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973173	CtpkIY1Y3s0Y5ZLYD9	REDACTED_IP	49763	REDACTED_IP	4445	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973173	CakNSi2yqS967trEW6	REDACTED_IP	49763	REDACTED_IP	5633	tcp	-	0.000012	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973173	CGMCNN2en7UJ79Bky9	REDACTED_IP	49763	REDACTED_IP	1199	tcp	-	0.000012	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973173	CFtA4U3Z3PRIiFC5da	REDACTED_IP	49763	REDACTED_IP	8402	tcp	-	0.000013	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973173	CjdfCh7CnkMnwO2Sg	REDACTED_IP	49763	REDACTED_IP	9080	tcp	-	0.000014	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973173	CpWdcj4vWPCP6hh1wk	REDACTED_IP	49763	REDACTED_IP	2033	tcp	-	0.000015	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973173	CLTLa42ueokN7Znhl7	REDACTED_IP	49763	REDACTED_IP	1114	tcp	-	0.000016	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973173	CvaRBjYJa9YVFuivk	REDACTED_IP	49763	REDACTED_IP	1864	tcp	-	0.000016	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973191	CXR28W2PhbnmR5oG38	REDACTED_IP	49763	REDACTED_IP	31038	tcp	-	0.000001	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973191	C3Vbdn1lfRXa8mVFai	REDACTED_IP	49763	REDACTED_IP	2967	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973191	CYRnaBlpKFnaNKgHb	REDACTED_IP	49763	REDACTED_IP	5961	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973191	CL9Uyb3KeVO8fOdBdf	REDACTED_IP	49763	REDACTED_IP	3800	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.973191	Cgcsma1CwnYBJSf9O3	REDACTED_IP	49763	REDACTED_IP	5510	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984702	C7tI6z2W6by1C5hjlh	REDACTED_IP	49763	REDACTED_IP	30951	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984702	CLizgk3YURAM9OBxee	REDACTED_IP	49763	REDACTED_IP	49152	tcp	-	0.000013	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984702	C2VB4s2A5RsxlnE6ri	REDACTED_IP	49763	REDACTED_IP	19350	tcp	-	0.000014	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984703	CFtQN94UeuwvhkjyUf	REDACTED_IP	49763	REDACTED_IP	1147	tcp	-	0.000014	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984703	CrUnrd3HAB8kpAtDNj	REDACTED_IP	49763	REDACTED_IP	5100	tcp	-	0.000014	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984703	CZUWYgKCirS1Qhjz1	REDACTED_IP	49763	REDACTED_IP	722	tcp	-	0.000015	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984703	CMmIZX3eW87abWvte1	REDACTED_IP	49763	REDACTED_IP	1040	tcp	-	0.000015	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984703	CC5yYO3CvVinTbgcO9	REDACTED_IP	49763	REDACTED_IP	55600	tcp	-	0.000016	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984721	Cqa5541a8r91r17JEc	REDACTED_IP	49763	REDACTED_IP	8994	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984721	CX6CS03fXdkLoceaXk	REDACTED_IP	49763	REDACTED_IP	1034	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984721	CkivnD280LE62SYwYh	REDACTED_IP	49763	REDACTED_IP	514	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984721	CKhLqZ1QhHb0Y1NTfj	REDACTED_IP	49763	REDACTED_IP	10010	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.984721	CvlyWR23qbTs3WTU9h	REDACTED_IP	49763	REDACTED_IP	524	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
